Autism: Dorea, Coprococcus, Alistipes, Enterococcus, Parabacteroides, Shigella, Roseburia, Blautia, Faecalibacterium prausnitzii, Enterobacteriaceae, Ruminococcaceae, Lachnospiraceae, Faecalibacterium, Bacteroides fragilis, Phascolarctobacterium, Klebsiella, Ruminococcus, Clostridium, Collinsella, Bacteroides
Chronic Obstructive Pulmonary Disease: Leptotrichia, Actinomyces, Porphyromonas, Fusobacterium, Campylobacter, Gemella, Rothia, Granulicatella, Neisseria, Atopobium, Moraxella, Haemophilus, Alloprevotella, Sphingomonas, Pseudomonas, Fusobacterium nucleatum, Propionibacterium, Actinobacteria, Dialister, Bacteroidetes
Colorectal cancer: Shigella, Escherichia, Collinsella, Akkermansia, Lachnospira, Klebsiella, Alistipes, Bacteroides fragilis, Sutterella, Phascolarctobacterium, Coriobacteriaceae, Erysipelotrichaceae, Methanobrevibacter, Escherichia coli, Dorea, Gemella, Oscillibacter, Actinomyces, Odoribacter, Rothia
Inflammatory Bowel Disease: Alistipes, Parabacteroides, Dorea, Shigella, Coprococcus, Megamonas, Enterococcus, Phascolarctobacterium, Roseburia, Collinsella, Clostridium, Ruminococcus, Lachnospiraceae, Anaerostipes, Akkermansia, Faecalibacterium prausnitzii, Enterobacteriaceae, Ruminococcaceae, Blautia, Faecalibacterium
Major depressive disorder: Parabacteroides, Ruminococcus, Clostridium, Enterococcus, Alistipes, Roseburia, Coprococcus, Phascolarctobacterium, Dorea, Faecalibacterium, Bacteroides, Megamonas, Blautia, Sutterella, Faecalibacterium prausnitzii, Lachnospiraceae, Akkermansia, Enterobacteriaceae, Ruminococcaceae, Shigella
Bipolar disorder: Blautia, Faecalibacterium, Bacteroides, Roseburia, Ruminococcus, Faecalibacterium prausnitzii, Lactobacillus, Bifidobacterium, Streptococcus, Enterococcus, Coprococcus, Enterobacteriaceae, Ruminococcaceae, Dorea, Prevotella, Parabacteroides, Staphylococcus, Bacteroidetes, Veillonella, Corynebacterium
Chronic fatigue syndrome: Dialister, Eubacterium, Actinomyces, Porphyromonas, Lachnospiraceae, Clostridium, Prevotella, Haemophilus, Campylobacter, Rothia, Staphylococcus, Bifidobacterium, Bacteroides, Proteobacteria, Citrobacter, Veillonella, Pseudomonas, Fusobacterium, Pasteurellaceae, Roseburia
Parkinson's Disease: Shigella, Klebsiella, Alistipes, Dorea, Gemella, Collinsella, Lachnospiraceae, Actinomyces, Coprococcus, Rothia, Clostridium, Fusobacterium, Akkermansia, Acinetobacter, Peptostreptococcaceae, Neisseria, Dialister, Phascolarctobacterium, Campylobacter, Parabacteroides
Alzheimer's Disease: Sutterella, Lachnospira, Parabacteroides, Megamonas, Phascolarctobacterium, Anaerostipes, Akkermansia, Alistipes, Shigella, Desulfovibrio, Escherichia, Clostridium, Collinsella, Ruminococcus, Enterococcus, Subdoligranulum, Coprococcus, Dorea, Odoribacter, Klebsiella
Infective colitis: Bacteroides, Blautia, Faecalibacterium, Faecalibacterium prausnitzii, Roseburia, Streptococcus, Prevotella, Lactobacillus, Bifidobacterium, Corynebacterium, Ruminococcus, Enterobacteriaceae, Veillonella, Enterococcus, Ruminococcaceae, Coprococcus, Parabacteroides, Staphylococcus, Dorea, Clostridium
Atherosclerosis: Bacteroides, Faecalibacterium, Blautia, Roseburia, Lactobacillus, Faecalibacterium prausnitzii, Parabacteroides, Ruminococcus, Bifidobacterium, Streptococcus, Lachnospiraceae, Ruminococcaceae, Enterobacteriaceae, Enterococcus, Corynebacterium, Coprococcus, Alistipes, Dorea, Staphylococcus, Veillonella
Aggressive periodontitis: Leptotrichia, Fusobacterium, Actinomyces, Porphyromonas, Atopobium, Granulicatella, Campylobacter, Gemella, Rothia, Neisseria, Pseudomonas, Haemophilus, Fusobacterium nucleatum, Oribacterium, Dialister, Alloprevotella, Haemophilus parainfluenzae, Sphingomonas, Veillonella, Megasphaera
Type 1 Diabetes: Alistipes, Lachnospiraceae, Parabacteroides, Clostridium, Roseburia, Ruminococcus, Enterococcus, Coprococcus, Shigella, Dorea, Klebsiella, Proteobacteria, Megamonas, Collinsella, Phascolarctobacterium, Acinetobacter, Akkermansia, Enterobacteriaceae, Ruminococcaceae, Faecalibacterium
Esophageal cancer: Prevotella, Streptococcus, Corynebacterium, Lactobacillus, Veillonella, Bifidobacterium, Bacteroides, Faecalibacterium prausnitzii, Neisseria, Staphylococcus, Haemophilus, Blautia, Enterobacteriaceae, Fusobacterium, Faecalibacterium, Ruminococcaceae, Bacteroidetes, Roseburia, Acinetobacter, Porphyromonas
Acute skin abscess: Corynebacterium, Prevotella, Streptococcus, Veillonella, Lactobacillus, Bifidobacterium, Bacteroides, Neisseria, Haemophilus, Faecalibacterium prausnitzii, Staphylococcus, Fusobacterium, Enterobacteriaceae, Prevotella copri, Staphylococcus epidermidis, Ruminococcaceae, Propionibacterium acnes, Blautia, Porphyromonas, Bacteroidetes
Necrotizing enterocolitis: Ruminococcus gnavus, Blautia, Faecalibacterium, Bacteroides, Roseburia, Lactobacillus, Faecalibacterium prausnitzii, Coprococcus, Parabacteroides, Dorea, Ruminococcus, Enterococcus, Bifidobacterium, Streptococcus, Alistipes, Prevotella, Enterobacteriaceae, Clostridium, Ruminococcaceae, Corynebacterium
Caries: Leptotrichia, Actinomyces naeslundii, Fusobacterium nucleatum, Granulicatella, Atopobium, Haemophilus parainfluenzae, Selenomonas, Corynebacterium matruchotii, Prevotella denticola, Sphingomonas, Actinomyces, Streptococcus mitis, Filifactor, Campylobacter, Peptostreptococcus, Oribacterium, Fusobacterium, Porphyromonas, Capnocytophaga, Campylobacter showae
Atopy: Prevotella, Lactobacillus, Streptococcus, Bacteroides, Corynebacterium, Bifidobacterium, Veillonella, Faecalibacterium prausnitzii, Blautia, Faecalibacterium, Roseburia, Enterobacteriaceae, Staphylococcus, Ruminococcaceae, Ruminococcus, Haemophilus, Acinetobacter, Neisseria, Enterococcus, Lachnospiraceae
Familial adenomatous polyposis: Lactobacillus, Prevotella, Streptococcus, Corynebacterium, Bacteroides, Veillonella, Bifidobacterium, Faecalibacterium prausnitzii, Blautia, Faecalibacterium, Roseburia, Staphylococcus, Enterobacteriaceae, Ruminococcaceae, Haemophilus, Neisseria, Ruminococcus, Acinetobacter, Enterococcus, Bacteroidetes
Allergy: Bacteroides, Blautia, Faecalibacterium, Streptococcus, Bifidobacterium, Faecalibacterium prausnitzii, Roseburia, Prevotella, Lactobacillus, Ruminococcus, Enterobacteriaceae, Corynebacterium, Veillonella, Ruminococcaceae, Enterococcus, Staphylococcus, Acinetobacter, Parabacteroides, Coprococcus, Clostridium
Celiac Disease, Coaliac disease: Fusobacterium, Gemella, Alloprevotella, Neisseria, Campylobacter, Actinomyces, Propionibacterium, Porphyromonas, Actinobacteria, Veillonella, Haemophilus, Corynebacterium, Rothia, Acinetobacter, Lachnospiraceae, Staphylococcus, Firmicutes, Dialister, Bacteroidetes, Streptococcus
Ankylosing spondylitis: Parabacteroides, Coprococcus, Anaerostipes, Dorea, Alistipes, Enterococcus, Ruminococcus, Megamonas, Roseburia, Shigella, Faecalibacterium, Clostridium, Blautia, Subdoligranulum, Phascolarctobacterium, Akkermansia, Faecalibacterium prausnitzii, Lachnospiraceae, Bacteroides, Sutterella
Atopic eczema: Blautia, Faecalibacterium, Faecalibacterium prausnitzii, Roseburia, Ruminococcus gnavus, Bacteroides, Coprococcus, Dorea, Enterococcus, Ruminococcus, Bifidobacterium, Parabacteroides, Enterobacteriaceae, Streptococcus, Ruminococcaceae, Prevotella, Corynebacterium, Lactobacillus, Alistipes, Clostridium
HIV infection: Alistipes, Shigella, Akkermansia, Escherichia, Klebsiella, Collinsella, Phascolarctobacterium, Lachnospira, Clostridium, Sutterella, Megamonas, Dorea, Parabacteroides, Coprococcus, Lachnospiraceae, Eggerthella, Coriobacteriaceae, Paraprevotella, Odoribacter, Enterococcus
Systemic sclerosis: Bacteroides, Lactobacillus, Prevotella, Streptococcus, Bifidobacterium, Roseburia, Veillonella, Ruminococcus, Faecalibacterium, Staphylococcus, Enterobacteriaceae, Ruminococcaceae, Blautia, Haemophilus, Dialister, Corynebacterium, Faecalibacterium prausnitzii, Parabacteroides, Acinetobacter, Lachnospiraceae
Primary sclerosing cholangitis: Parabacteroides, Ruminococcus, Alistipes, Roseburia, Enterococcus, Faecalibacterium, Megasphaera, Blautia, Coprococcus, Bacteroides, Bacteroidetes, Dorea, Clostridium, Lachnospiraceae, Enterobacteriaceae, Ruminococcaceae, Acinetobacter, Firmicutes, Faecalibacterium prausnitzii, Bifidobacterium
Preeclamsia: Paraprevotella, Escherichia, Lachnospira, Proteobacteria, Sutterella, Pseudomonas, Coriobacteriaceae, Phascolarctobacterium, Klebsiella, Desulfovibrio, Akkermansia, Eubacterium, Collinsella, Clostridium, Odoribacter, Bacillus, Alistipes, Parabacteroides, Megamonas, Lactococcus
Pulmonary tubercolosis: Alloprevotella, Actinobacteria, Propionibacterium, Neisseria, Fusobacterium, Gemella, Campylobacter, Actinomyces, Porphyromonas, Lachnospiraceae, Firmicutes, Acinetobacter, Staphylococcus, Rothia, Bacteroidetes, Haemophilus, Corynebacterium, Veillonella, Dialister, Ruminococcaceae
Juvenile idiopathic arthritis: Blautia, Faecalibacterium, Bacteroides, Roseburia, Ruminococcus, Faecalibacterium prausnitzii, Bifidobacterium, Enterococcus, Parabacteroides, Lactobacillus, Streptococcus, Enterobacteriaceae, Coprococcus, Ruminococcaceae, Prevotella, Dorea, Staphylococcus, Veillonella, Clostridium, Acinetobacter
Behcet's Disease: Fusobacterium, Alloprevotella, Veillonella, Firmicutes, Bacteroidetes, Neisseria, Megasphaera, Porphyromonas, Actinomyces, Streptococcus, Corynebacterium, Prevotella, Haemophilus, Lactobacillus, Campylobacter, Gemella, Staphylococcus, Dialister, Rothia, Leptotrichia
Sj?gren Syndrome: Fusobacterium, Porphyromonas, Actinomyces, Gemella, Campylobacter, Alloprevotella, Neisseria, Propionibacterium, Actinobacteria, Rothia, Haemophilus, Veillonella, Firmicutes, Bacteroidetes, Dialister, Leptotrichia, Atopobium, Pseudomonas, Staphylococcus, Megasphaera
Autoimmune hepatitis: Blautia, Bacteroides, Faecalibacterium, Streptococcus, Lactobacillus, Bifidobacterium, Roseburia, Faecalibacterium prausnitzii, Prevotella, Ruminococcus, Enterobacteriaceae, Corynebacterium, Ruminococcaceae, Enterococcus, Veillonella, Staphylococcus, Coprococcus, Parabacteroides, Acinetobacter, Dorea
Hepatitis B: Parabacteroides, Dialister, Clostridium, Lachnospiraceae, Ruminococcus, Lachnospira, Alistipes, Enterococcus, Phascolarctobacterium, Sutterella, Roseburia, Bacteroides, Ruminococcaceae, Enterobacteriaceae, Actinomyces, Porphyromonas, Pseudomonas, Megamonas, Acinetobacter, Bifidobacterium
Aphthous ulcer: Veillonella, Prevotella, Corynebacterium, Streptococcus, Fusobacterium, Neisseria, Lactobacillus, Haemophilus, Porphyromonas, Actinomyces, Campylobacter, Leptotrichia, Gemella, Staphylococcus, Bifidobacterium, Haemophilus parainfluenzae, Bacteroidetes, Rothia, Dialister, Bacteroides
Pancreatic cancer: Pseudomonas, Porphyromonas, Rothia, Dialister, Proteobacteria, Campylobacter, Actinomyces, Lachnospiraceae, Eubacterium, Fusobacterium, Actinobacteria, Acinetobacter, Haemophilus, Megasphaera, Aggregatibacter, Klebsiella, Propionibacterium, Escherichia, Neisseria, Staphylococcus
Tuberculosis: Haemophilus parainfluenzae, Prevotella melaninogenica, Veillonella parvula, Porphyromonas gingivalis, Gardnerella vaginalis, Lactobacillus crispatus, Rothia mucilaginosa, Lactobacillus iners, Veillonella dispar, Streptococcus salivarius, Streptococcus oralis, Streptococcus gordonii, Lactobacillus gasseri, Granulicatella adiacens, Comamonas, Prevotella pallens, Campylobacter rectus, Lautropia, Staphylococcus epidermidis, Haemophilus influenzae
Recurrent tonsillitis: Granulicatella adiacens, Prevotella pallens, Campylobacter concisus, Campylobacter rectus, Rothia dentocariosa, Porphyromonas endodontalis, Streptococcus gordonii, Treponema socranskii, Neisseria flavescens, Porphyromonas gingivalis, Streptococcus oralis, Rothia mucilaginosa, Atopobium parvulum, Prevotella nanceiensis, Gemella haemolysans, Catonella morbi, Dolosigranulum, Shuttleworthia satelles, Tanerella forsythia, Rothia aeria
Atopic dermatitis: Firmicutes, Fusobacterium, Bacteroidetes, Megasphaera, Porphyromonas, Alloprevotella, Veillonella, Neisseria, Staphylococcus, Actinomyces, Haemophilus, Pseudomonas, Dialister, Acinetobacter, Streptococcus, Rothia, Campylobacter, Prevotella, Lachnospiraceae, Corynebacterium
Bacterial vaginosis: Alloprevotella, Peptoniphilus, Firmicutes, Leptotrichiaceae, Fusobacterium, Bacteroidetes, Lactobacillus acidophilus, Tissierellaceae, Veillonella, Aggregatibacter actinomycetemcomitans, Pseudomonadaceae, Megasphaera, Peptostreptococcaceae, Porphyromonas, Streptococcus, Neisseria, Staphylococcus, Lactobacillus, Corynebacterium, Veillonella dispar
Cervical cancer: Clostridiales, Lactobacillus, Firmicutes, Sneathia, Bacteroidetes, Blautia, Bacteroides, Faecalibacterium, Roseburia, Streptococcus, Bifidobacterium, Ruminococcus, Alloprevotella, Megasphaera, Enterobacteriaceae, Faecalibacterium prausnitzii, Clostridium cluster IV, Prevotella, Ruminococcaceae, Staphylococcus
Asthma: Pseudomonas, Escherichia, Dialister, Eubacterium, Rothia, Lachnospira, Actinomyces, Porphyromonas, Clostridium, Lachnospiraceae, Proteobacteria, Klebsiella, Fusobacterium, Paraprevotella, Megasphaera, Campylobacter, Aggregatibacter, Alistipes, Parabacteroides, Collinsella
Rheumatoid Arthritis: Alloprevotella, Fusobacterium, Porphyromonas, Actinomyces, Gemella, Actinobacteria, Rothia, Neisseria, Peptoniphilus, Campylobacter, Megasphaera, Dialister, Bacteroidetes, Lachnospiraceae, Haemophilus, Propionibacterium, Acinetobacter, Pseudomonas, Staphylococcus, Eggerthella
Periodontal disease: Neisseria subflava, Porphyromonas gingivalis, Campylobacter concisus, Haemophilus parainfluenzae, Neisseria flavescens, Rothia mucilaginosa, Rothia dentocariosa, Granulicatella adiacens, Gemella haemolysans, Tanerella forsythia, Streptococcus oralis, Fretibacterium fastidiosum, Porphyromonas endodontalis, Comamonas, Neisseria oralis, Treponema socranskii, Rothia aeria, Veillonella dispar, Streptococcus salivarius, Shuttleworthia satelles
Blepharitis: Lactobacillus, Streptococcus, Prevotella, Corynebacterium, Bacteroides, Veillonella, Bifidobacterium, Blautia, Faecalibacterium, Faecalibacterium prausnitzii, Roseburia, Enterobacteriaceae, Staphylococcus, Ruminococcaceae, Ruminococcus, Haemophilus, Acinetobacter, Neisseria, Enterococcus, Bacteroidetes
Chronic Rhinosinusitis: Corynebacterium, Veillonella, Streptococcus, Prevotella, Neisseria, Fusobacterium, Staphylococcus, Haemophilus, Bifidobacterium, Porphyromonas, Ruminococcaceae, Lactobacillus, Enterobacteriaceae, Acinetobacter, Propionibacterium, Actinomyces, Bacteroides, Gemella, Campylobacter, Dialister
Conjunctival scarring: Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Veillonella, Bacteroides, Bifidobacterium, Staphylococcus, Faecalibacterium prausnitzii, Blautia, Enterobacteriaceae, Haemophilus, Faecalibacterium, Roseburia, Neisseria, Ruminococcaceae, Acinetobacter, Fusobacterium, Bacteroidetes, Ruminococcus
Oral lichen planus: Firmicutes, Porphyromonas, Bacteroidetes, Fusobacterium, Staphylococcus, Alloprevotella, Pseudomonas, Acinetobacter, Megasphaera, Haemophilus, Veillonella, Neisseria, Dialister, Actinomyces, Ruminococcaceae, Rothia, Enterobacteriaceae, Bifidobacterium, Streptococcus, Campylobacter
Heart failure: Blautia, Bacteroides, Faecalibacterium, Roseburia, Ruminococcus, Faecalibacterium prausnitzii, Bifidobacterium, Lactobacillus, Enterococcus, Streptococcus, Parabacteroides, Coprococcus, Enterobacteriaceae, Ruminococcaceae, Prevotella, Dorea, Veillonella, Corynebacterium, Staphylococcus, Clostridium
Refractory celiac disease: Prevotella pallens, Streptococcus gordonii, Campylobacter rectus, Lactobacillus iners, Granulicatella adiacens, Rothia dentocariosa, Campylobacter concisus, Haemophilus influenzae, Shuttleworthia satelles, Atopobium vaginae, Dolosigranulum, Porphyromonas endodontalis, Gemella haemolysans, Catonella morbi, Treponema socranskii, Neisseria subflava, Neisseria flavescens, Gardnerella vaginalis, Lactobacillus crispatus, Prevotella histicola
Interstitial cystitis: Pseudomonas, Porphyromonas, Dialister, Eubacterium, Rothia, Actinomyces, Fusobacterium, Clostridium, Proteobacteria, Lachnospiraceae, Haemophilus, Escherichia, Campylobacter, Parabacteroides, Ruminococcus, Staphylococcus, Lachnospira, Acinetobacter, Megasphaera, Ruminococcaceae
Coronary artery disease: Coprococcus, Dorea, Clostridium cluster IV, Ruminococcus, Parabacteroides, Alistipes, Enterococcus, Blautia, Roseburia, Coprobacillus, Faecalibacterium, Clostridium, Phascolarctobacterium, Klebsiella, Akkermansia, Megamonas, Lachnospiraceae, Ruminococcaceae, Lachnoclostridium, Enterobacteriaceae
Juvenile Idiopathic Arthritis: Prevotella, Corynebacterium, Streptococcus, Lactobacillus, Veillonella, Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Blautia, Staphylococcus, Enterobacteriaceae, Neisseria, Faecalibacterium, Haemophilus, Ruminococcaceae, Roseburia, Fusobacterium, Acinetobacter, Bacteroidetes, Porphyromonas
Preterm birth: Firmicutes, Alloprevotella, Bacteroidetes, Veillonella, Lactobacillus, Streptococcus, Fusobacterium, Megasphaera, Corynebacterium, Prevotella, Neisseria, Peptoniphilus, Staphylococcus epidermidis, Staphylococcus, Haemophilus, Bifidobacterium, Porphyromonas, Sneathia, Propionibacterium acnes, Actinomyces
Polycystic Ovary Syndrome: Blautia, Coprococcus, Faecalibacterium, Dorea, Ruminococcus, Enterococcus, Roseburia, Parabacteroides, Faecalibacterium prausnitzii, Bacteroides, Alistipes, Enterobacteriaceae, Clostridium, Bifidobacterium, Ruminococcaceae, Phascolarctobacterium, Lachnospiraceae, Megamonas, Streptococcus, Ruminococcus gnavus
Trachoma: Lactobacillus, Prevotella, Streptococcus, Corynebacterium, Veillonella, Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Blautia, Staphylococcus, Faecalibacterium, Enterobacteriaceae, Roseburia, Haemophilus, Ruminococcaceae, Neisseria, Acinetobacter, Bacteroidetes, Ruminococcus, Fusobacterium
Colon adenomas: Acinetobacter, Ruminococcaceae, Lachnospiraceae, Ruminococcus, Faecalibacterium, Staphylococcus, Fusobacterium, Blautia, Enterobacteriaceae, Bacteroidetes, Roseburia, Bifidobacterium, Enterococcus, Bacteroides, Porphyromonas, Megasphaera, Alloprevotella, Klebsiella, Coprococcus, Dialister
Gestational diabetes: Parabacteroides, Ruminococcus, Alistipes, Roseburia, Faecalibacterium, Blautia, Bacteroidetes, Enterococcus, Coprococcus, Bacteroides, Megasphaera, Lachnospiraceae, Dorea, Clostridium cluster IV, Clostridium, Enterobacteriaceae, Firmicutes, Ruminococcaceae, Lactobacillus, Acinetobacter
Primary Open-Angle Glaucoma: Blautia, Bacteroides, Faecalibacterium, Faecalibacterium prausnitzii, Roseburia, Streptococcus, Bifidobacterium, Prevotella, Ruminococcus, Enterobacteriaceae, Enterococcus, Lactobacillus, Corynebacterium, Ruminococcaceae, Parabacteroides, Veillonella, Staphylococcus, Coprococcus, Dorea, Clostridium
Barrett's oesophagus: Veillonella, Corynebacterium, Prevotella, Fusobacterium, Neisseria, Streptococcus, Haemophilus, Porphyromonas, Campylobacter, Actinomyces, Gemella, Staphylococcus, Rothia, Propionibacterium, Bifidobacterium, Lactobacillus, Dialister, Acinetobacter, Leptotrichia, Granulicatella
Megaesophagus: Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Veillonella, Bifidobacterium, Bacteroides, Faecalibacterium prausnitzii, Staphylococcus, Enterobacteriaceae, Blautia, Faecalibacterium, Haemophilus, Roseburia, Ruminococcaceae, Neisseria, Acinetobacter, Fusobacterium, Ruminococcus, Porphyromonas
Pneumonia: Prevotella, Veillonella, Corynebacterium, Lactobacillus, Streptococcus, Haemophilus, Neisseria, Bifidobacterium, Fusobacterium, Bacteroides, Staphylococcus, Porphyromonas, Bacteroidetes, Actinomyces, Campylobacter, Enterobacteriaceae, Faecalibacterium prausnitzii, Ruminococcaceae, Acinetobacter, Gemella
Cutaneous burn: Streptococcus, Prevotella, Corynebacterium, Bacteroides, Bifidobacterium, Lactobacillus, Blautia, Veillonella, Faecalibacterium, Faecalibacterium prausnitzii, Enterobacteriaceae, Roseburia, Staphylococcus, Ruminococcaceae, Acinetobacter, Ruminococcus, Enterococcus, Haemophilus, Neisseria, Lachnospiraceae
Exacerbations of idiopathic pulmonary fibrosis: Prevotella, Streptococcus, Veillonella, Lactobacillus, Bacteroides, Bifidobacterium, Corynebacterium, Haemophilus, Staphylococcus, Faecalibacterium prausnitzii, Enterobacteriaceae, Roseburia, Neisseria, Ruminococcaceae, Faecalibacterium, Porphyromonas, Acinetobacter, Dialister, Blautia, Actinomyces
Head/Neck cancer: Haemophilus parainfluenzae, Veillonella, Prevotella melaninogenica, Porphyromonas gingivalis, Fusobacterium, Streptococcus salivarius, Corynebacterium, Leptotrichia, Prevotella, Fusobacterium nucleatum, Neisseria, Streptococcus, Porphyromonas, Campylobacter, Haemophilus, Actinomyces, Granulicatella, Gemella, Selenomonas, Veillonella parvula
Hypertension: Coprococcus, Dorea, Blautia, Faecalibacterium, Parabacteroides, Ruminococcus gnavus, Roseburia, Ruminococcus, Enterococcus, Alistipes, Faecalibacterium prausnitzii, Bacteroides, Clostridium, Enterobacteriaceae, Megamonas, Phascolarctobacterium, Ruminococcaceae, Clostridium cluster IV, Shigella, Bifidobacterium
Halitosis: Porphyromonas gingivalis, Haemophilus parainfluenzae, Prevotella melaninogenica, Fusobacterium nucleatum, Comamonas, Streptococcus oralis, Leptotrichia, Streptococcus salivarius, Granulicatella, Selenomonas, Fusobacterium, Rothia mucilaginosa, Atopobium, Neisseria, Campylobacter, Porphyromonas, Veillonella, Veillonella dispar, Actinomyces, Capnocytophaga
Rectal Carcinoma: Pseudomonas, Bacteroides, Dialister, Prevotella, Porphyromonas, Bifidobacterium, Clostridium, Roseburia, Ruminococcus, Haemophilus, Veillonella, Parabacteroides, Staphylococcus, Streptococcus, Actinomyces, Lachnospiraceae, Enterobacteriaceae, Ruminococcaceae, Acinetobacter, Faecalibacterium
Dandruff: Aspergillus, Lactobacillus, Bacteroides, Streptococcus, Bifidobacterium, Prevotella, Faecalibacterium, Blautia, Roseburia, Staphylococcus, Enterobacteriaceae, Veillonella, Ruminococcus, Corynebacterium, Ruminococcaceae, Bacteroidetes, Faecalibacterium prausnitzii, Acinetobacter, Malassezia, Haemophilus
Viral Diarrhea: Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Veillonella, Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Staphylococcus, Blautia, Faecalibacterium, Enterobacteriaceae, Haemophilus, Roseburia, Ruminococcaceae, Neisseria, Acinetobacter, Fusobacterium, Ruminococcus, Porphyromonas
