Colon cancer: Helicobacter pylori, Clostridium difficile, Staphylococcus aureus, Firmicutes, Prevotella, Actinobacteria, Bacteroidetes, Proteobacteria, Clostridium coccoides, Staphylococcus, Lachnospiraceae, Haemophilus, Bacteroides, Lactobacillus, Enterobacteriaceae, Enterococcus, Veillonella, Tropheryma whipplei, Clostridia, Fusobacterium
Bacterial Vaginosis: Clostridium coccoides, Bacteroidetes, Firmicutes, Prevotella, Actinobacteria, Betaproteobacteria, Clostridiales, Candidate division TM7, Proteobacteria, Atopobium vaginae, Eggerthella, Papillibacter, Porphyromonas uenonis, Atopobium, Streptobacillus, Leptotrichia, Lactobacillus  crispatus, Mobiluncus, Lactobacillus iners, Gardnerella vaginalis
Infectious colitis: Prevotella, Firmicutes, Actinobacteria, Bacteroidetes, Clostridium coccoides, Helicobacter pylori, Proteobacteria, Clostridium difficile, Lachnospiraceae, Bacteroides, Staphylococcus aureus, Clostridia, Lactobacillus, Fusobacterium, Haemophilus, Veillonella, Porphyromonadaceae, Bacteroides ovatus, Bacteroides vulgatus, Bacteroidaceae
Ulcerative colitis: Firmicutes, Prevotella, Bacteroidetes, Actinobacteria, Proteobacteria, Clostridium coccoides, Lachnospiraceae, Lactobacillus, Haemophilus, Bacteroides, Clostridia, Fusobacterium, Veillonella, Helicobacter pylori, Streptococcus, Bacteroides ovatus, Clostridium difficile, Bacteroides uniformis, Porphyromonadaceae, Bacteroidaceae
Crohn's disease(CD): Clostridium coccoides, Firmicutes, Bacteroidetes, Proteobacteria, Prevotella, Actinobacteria, Clostridium leptum, Enterococcus, Enterobacteriaceae, Staphylococcus, Faecalibacterium prausnitzii, Lactobacillus, Lachnospiraceae, Haemophilus, Erysipelotrichales, Clostridium, Veillonellaceae, Shigella dysenteriae, Verrucomicrobiaceae, Bacteroides
Allergic sensitization: Helicobacter pylori, Clostridium difficile, Staphylococcus aureus, Actinobacteria, Prevotella, Firmicutes, Bacteroidetes, Tropheryma whipplei, Escherichia coli, Clostridium coccoides, Proteobacteria, Stenotrophomonas maltophilia, Staphylococcus, Desulfovibrio, Staphylococcus epidermidis, Dietzia maris, Bacteroides, Oxalobacter formigenes, Lachnospiraceae, Enterococcus
Atopic dermatitis: Clostridium difficile, Helicobacter pylori, Staphylococcus aureus, Escherichia coli, Staphylococcus epidermidis, Desulfovibrio, Dietzia maris, Oxalobacter formigenes, Stenotrophomonas maltophilia, Prevotella copri, Tropheryma whipplei, Bifidobacterium, Actinobacteria, Firmicutes, Bacteroidetes, Prevotella, Clostridium coccoides, Proteobacteria, Staphylococcus, Corynebacterium
Atopic sensitisation: Helicobacter pylori, Clostridium difficile, Staphylococcus aureus, Actinobacteria, Bacteroidetes, Firmicutes, Prevotella, Clostridium coccoides, Proteobacteria, Escherichia coli, Tropheryma whipplei, Staphylococcus, Stenotrophomonas maltophilia, Staphylococcus epidermidis, Desulfovibrio, Dietzia maris, Oxalobacter formigenes, Bacteroides, Lachnospiraceae, Enterococcus
Eczema: Clostridium difficile, Helicobacter pylori, Staphylococcus aureus, Escherichia coli, Staphylococcus epidermidis, Dietzia maris, Desulfovibrio, Oxalobacter formigenes, Stenotrophomonas maltophilia, Prevotella copri, Tropheryma whipplei, Bifidobacterium, Actinobacteria, Firmicutes, Bacteroidetes, Prevotella, Clostridium coccoides, Proteobacteria, Staphylococcus, Corynebacterium
Recurrent wheeze: Helicobacter pylori, Clostridium difficile, Staphylococcus aureus, Actinobacteria, Prevotella, Bacteroidetes, Firmicutes, Clostridium coccoides, Proteobacteria, Staphylococcus, Stenotrophomonas maltophilia, Tropheryma whipplei, Escherichia coli, Bacteroides, Lachnospiraceae, Enterococcus, Haemophilus, Staphylococcus epidermidis, Enterobacteriaceae, Lactobacillus
Allergy: Helicobacter pylori, Clostridium difficile, Staphylococcus aureus, Escherichia coli, Firmicutes, Tropheryma whipplei, Actinobacteria, Prevotella, Bacteroidetes, Desulfovibrio, Proteobacteria, Stenotrophomonas maltophilia, Clostridium coccoides, Staphylococcus epidermidis, Dietzia maris, Staphylococcus, Oxalobacter formigenes, Lachnospiraceae, Bacteroides, Haemophilus
Asthma: Proteobacteria, Prevotella, Bacteroidetes, Firmicutes, Haemophilus, Staphylococcus, Actinobacteria, Lactobacillus, Helicobacter pylori, Enterobacteriaceae, Selenomonas, Actinomyces, Streptococcus, Porphyromonas gingivalis, Clostridium coccoides, Oxalobacteraceae, Sphingomonadaceae, Comamonadaceae, Lachnospiraceae, Treponema
Inflammatory bowel disease(IBD): Prevotella, Firmicutes, Actinobacteria, Bacteroidetes, Proteobacteria, Clostridium coccoides, Lachnospiraceae, Clostridia, Bacteroides, Lactobacillus, Haemophilus, Fusobacterium, Bacteroides ovatus, Veillonella, Bacteroides uniformis, Porphyromonadaceae, Bacteroidaceae, Bacteroides vulgatus, Streptococcus, Helicobacter pylori
Cystic fibrosis: Staphylococcus aureus, Burkholderia, Lysobacter, Rickettsiales, Streptococcus mitis, Xanthomonas, Erysipelotrichaceae, Alcaligenaceae, Methanobrevibacter smithii, Coriobacteriaceae, Stenotrophomonas maltophilia, Proteobacteria, Bacteroidetes, Firmicutes, Prevotella, Enterobacteriaceae, Lactobacillus, Coxiellaceae, Haemophilus, Actinobacteria
Rheumatoid arthrits: Prevotella, Firmicutes, Actinobacteria, Bacteroidetes, Clostridium coccoides, Proteobacteria, Lachnospiraceae, Bacteroides, Clostridia, Helicobacter pylori, Lactobacillus, Clostridium difficile, Fusobacterium, Haemophilus, Staphylococcus aureus, Veillonella, Bacteroides ovatus, Porphyromonadaceae, Bacteroides uniformis, Bacteroidaceae
Psoriasis: Proteobacteria, Prevotella, Firmicutes, Bacteroidetes, Actinobacteria, Haemophilus, Lactobacillus, Clostridium coccoides, Staphylococcus, Enterobacteriaceae, Streptococcus, Lachnospiraceae, Fusobacterium, Helicobacter pylori, Veillonella, Clostridia, Bacteroides, Enterococcus, Klebsiella, Bacteroides uniformis
Necrotizing Enterocolitis: Clostridium coccoides, Proteobacteria, Firmicutes, Bacteroidetes, Prevotella, Actinobacteria, Lactobacillus, Enterobacteriaceae, Staphylococcus, Haemophilus, Enterococcus, Faecalibacterium prausnitzii, Lachnospiraceae, Clostridium leptum, Streptococcus, Clostridium, Fusobacterium, Enterobacter aerogenes, Enterobacter hormaechei, Klebsiella pneumoniae
Systemic inflammatory response syndrome: Proteobacteria, Bacteroidetes, Firmicutes, Enterobacteriaceae, Lactobacillus, Prevotella, Haemophilus, Actinobacteria, Helicobacter pylori, Streptococcus, Clostridium coccoides, Staphylococcus, Enterococcus, Clostridium difficile, Lachnospiraceae, Staphylococcus aureus, Clostridium leptum, Klebsiella, Faecalibacterium prausnitzii, Fusobacterium
COPD: Proteobacteria, Prevotella, Firmicutes, Bacteroidetes, Actinobacteria, Haemophilus, Lactobacillus, Clostridium coccoides, Streptococcus, Lachnospiraceae, Staphylococcus, Enterobacteriaceae, Fusobacterium, Helicobacter pylori, Clostridia, Veillonella, Bacteroides, Klebsiella, Bacteroides uniformis, Bacteroides ovatus
Type 2 diabetes: Firmicutes, Clostridium coccoides, Bacteroidetes, Proteobacteria, Prevotella, Actinobacteria, Lactobacillus, Lachnospiraceae, Enterobacteriaceae, Haemophilus, Enterococcus, Faecalibacterium prausnitzii, Clostridium leptum, Clostridia, Bacteroides, Staphylococcus, Fusobacterium, Bacteroides ovatus, Bacteroides uniformis, Bacteroides vulgatus
Type 1 diabetes: Clostridia, Bacteroides fragilis, Rikenellaceae, Bacteroides ovatus, Ruminococcaceae, Bifidobacterium, Fusobacterium, Porphyromonadaceae, Citrobacter, Shuttleworthia, Actinobacteria, Klebsiella, Prevotella, Porphyromonas, Eubacteriaceae, Streptococcus, Human intestinal firmicute CO19, Bacteroides thetaiotaomicron, Human intestinal firmicute CB47, Acetonema
Colorectal carcinoma: Prevotella, Firmicutes, Actinobacteria, Bacteroidetes, Clostridium coccoides, Proteobacteria, Lachnospiraceae, Bacteroides, Clostridia, Lactobacillus, Haemophilus, Fusobacterium, Bacteroides ovatus, Veillonella, Porphyromonadaceae, Bacteroides uniformis, Bacteroidaceae, Bacteroides vulgatus, Streptococcus, Bacteroides fragilis
Kidney stones: Clostridium difficile, Helicobacter pylori, Staphylococcus aureus, Escherichia coli, Staphylococcus epidermidis, Dietzia maris, Desulfovibrio, Oxalobacter formigenes, Stenotrophomonas maltophilia, Prevotella copri, Tropheryma whipplei, Firmicutes, Prevotella, Actinobacteria, Bacteroidetes, Bifidobacterium, Proteobacteria, Clostridium coccoides, Staphylococcus, Lachnospiraceae
Whipple's disease: Helicobacter pylori, Clostridium difficile, Staphylococcus aureus, Escherichia coli, Tropheryma whipplei, Desulfovibrio, Staphylococcus epidermidis, Stenotrophomonas maltophilia, Dietzia maris, Actinobacteria, Firmicutes, Prevotella, Bacteroidetes, Clostridium coccoides, Proteobacteria, Oxalobacter formigenes, Staphylococcus, Bacteroides, Lachnospiraceae, Prevotella copri
Liver cirrhosis: Veillonella, Enterobacteriaceae, Bacteroidaceae, Haemophilus, Bacteroides, Lachnospiraceae, Eubacterium, Clostridium, Bacilli, Faecalibacterium prausnitzii, Coprococcus, Streptococcaceae, Dorea, Pasteurellaceae, Haemophilus parainfluenzae, Ruminococcus, Bacteroidetes, Lachnospira, Alistipes finegoldii, Enterococcus faecalis
Allergic asthma: Helicobacter pylori, Clostridium difficile, Staphylococcus aureus, Actinobacteria, Bacteroidetes, Firmicutes, Prevotella, Clostridium coccoides, Proteobacteria, Staphylococcus, Bacteroides, Lachnospiraceae, Enterococcus, Tropheryma whipplei, Haemophilus, Lactobacillus, Enterobacteriaceae, Stenotrophomonas maltophilia, Veillonella, Clostridia
Clostridium difficile infection(CDI): Prevotella, Firmicutes, Bacteroidetes, Actinobacteria, Proteobacteria, Clostridium coccoides, Lachnospiraceae, Bacteroides, Lactobacillus, Haemophilus, Clostridia, Fusobacterium, Veillonella, Bacteroidaceae, Porphyromonadaceae, Bacteroides uniformis, Bacteroides ovatus, Bacteroides vulgatus, Streptococcus, Parabacteroides
Skin and mucosal infections: Clostridium difficile, Helicobacter pylori, Staphylococcus aureus, Prevotella, Firmicutes, Actinobacteria, Bacteroidetes, Proteobacteria, Stenotrophomonas maltophilia, Clostridium coccoides, Escherichia coli, Staphylococcus epidermidis, Dietzia maris, Staphylococcus, Desulfovibrio, Oxalobacter formigenes, Prevotella copri, Bifidobacterium, Tropheryma whipplei, Lachnospiraceae
New-onset untreated rheumatoid arthrits: Clostridium difficile, Helicobacter pylori, Staphylococcus aureus, Staphylococcus epidermidis, Dietzia maris, Escherichia coli, Stenotrophomonas maltophilia, Oxalobacter formigenes, Desulfovibrio, Prevotella copri, Actinobacteria, Prevotella, Firmicutes, Bacteroidetes, Bifidobacterium, Proteobacteria, Clostridium coccoides, Tropheryma whipplei, Staphylococcus, Lachnospiraceae
