Spirochaetes: Breast Neoplasms, Mouth Neoplasms, Colorectal Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Pancreatic Neoplasms, Crohn Disease, Ulcerative Colitis, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Lung Neoplasms, Constipation, Celiac Disease, Laryngeal Neoplasms, Parkinson Disease, Alzheimer Disease, Tongue Neoplasms, Stomach Neoplasms, Rectal Neoplasms, Irritable Bowel Syndrome
[Clostridium] leptum: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Pancreatic Neoplasms, Irritable Bowel Syndrome, Breast Neoplasms, Liver Neoplasms, Mouth Neoplasms, Stomach Neoplasms, Celiac Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Esophageal Neoplasms, Coronary Artery Disease
Blautia coccoides: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Lung Neoplasms, Alzheimer Disease, Irritable Bowel Syndrome, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Liver Neoplasms, Stomach Neoplasms, Urinary Bladder Neoplasms, Celiac Disease, Constipation, Head and Neck Neoplasms, Coronary Artery Disease, Laryngeal Neoplasms
Firmicutes: Thyroid Neoplasms, Constipation, Esophageal Neoplasms, Pancreatic Neoplasms, Lung Neoplasms, Stomach Neoplasms, Celiac Disease, Alzheimer Disease, Breast Neoplasms, Head and Neck Neoplasms, Mouth Neoplasms, Ulcerative Colitis, Uterine Cervical Neoplasms, Colorectal Neoplasms, Rectal Neoplasms, Crohn Disease, Inflammatory Bowel Diseases, Liver Neoplasms, Irritable Bowel Syndrome, Parkinson Disease
Bifidobacterium catenulatum: Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Crohn Disease, Ulcerative Colitis, Celiac Disease, Colorectal Neoplasms, Alzheimer Disease, Lung Neoplasms, Parkinson Disease, Esophageal Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Constipation, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Laryngeal Neoplasms
Parabacteroides distasonis: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Alzheimer Disease, Celiac Disease, Lung Neoplasms, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Esophageal Neoplasms, Laryngeal Neoplasms
[Ruminococcus] gnavus: Ulcerative Colitis, Crohn Disease, Colorectal Neoplasms, Irritable Bowel Syndrome, Lung Neoplasms, Liver Neoplasms, Alzheimer Disease, Stomach Neoplasms, Celiac Disease, Pancreatic Neoplasms, Parkinson Disease, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Esophageal Neoplasms, Constipation, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Urinary Bladder Neoplasms
Akkermansia muciniphila: Crohn Disease, Irritable Bowel Syndrome, Ulcerative Colitis, Colorectal Neoplasms, Liver Neoplasms, Parkinson Disease, Stomach Neoplasms, Alzheimer Disease, Lung Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Esophageal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms
Acidaminococcus: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Lung Neoplasms, Alzheimer Disease, Irritable Bowel Syndrome, Liver Neoplasms, Parkinson Disease, Stomach Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Celiac Disease, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Esophageal Neoplasms, Laryngeal Neoplasms
Actinobacteria: Stomach Neoplasms, Lung Neoplasms, Celiac Disease, Alzheimer Disease, Pancreatic Neoplasms, Constipation, Colorectal Neoplasms, Ulcerative Colitis, Liver Neoplasms, Irritable Bowel Syndrome, Crohn Disease, Breast Neoplasms, Thyroid Neoplasms, Mouth Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Uterine Cervical Neoplasms, Parkinson Disease, Pharyngeal Neoplasms, Rectal Neoplasms
Aeromonadaceae: Crohn Disease, Colorectal Neoplasms, Ulcerative Colitis, Parkinson Disease, Breast Neoplasms, Pancreatic Neoplasms, Mouth Neoplasms, Lung Neoplasms, Alzheimer Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Urinary Bladder Neoplasms, Stomach Neoplasms, Celiac Disease, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms
Aeromonas: Crohn Disease, Colorectal Neoplasms, Ulcerative Colitis, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Alzheimer Disease, Lung Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Parkinson Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Esophageal Neoplasms
Alistipes: Lung Neoplasms, Alzheimer Disease, Ulcerative Colitis, Colorectal Neoplasms, Crohn Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Pancreatic Neoplasms, Parkinson Disease, Celiac Disease, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Constipation, Pharyngeal Neoplasms, Head and Neck Neoplasms, Esophageal Neoplasms, Thyroid Neoplasms, Rectal Neoplasms
Alphaproteobacteria: Lung Neoplasms, Alzheimer Disease, Colorectal Neoplasms, Pancreatic Neoplasms, Ulcerative Colitis, Crohn Disease, Stomach Neoplasms, Breast Neoplasms, Mouth Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Celiac Disease, Parkinson Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Rectal Neoplasms
Anaeroplasmataceae: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Pancreatic Neoplasms, Alzheimer Disease, Breast Neoplasms, Mouth Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Coronary Artery Disease, Diarrhea, Atherosclerosis, Stomach Neoplasms, Hypertension, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Celiac Disease, Urinary Bladder Neoplasms
Anaerovorax: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Alzheimer Disease, Lung Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Parkinson Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Esophageal Neoplasms, Laryngeal Neoplasms
Bacilli: Colorectal Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Crohn Disease, Liver Neoplasms, Stomach Neoplasms, Parkinson Disease, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Esophageal Neoplasms, Laryngeal Neoplasms
Bifidobacteriaceae: Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Ulcerative Colitis, Lung Neoplasms, Colorectal Neoplasms, Crohn Disease, Alzheimer Disease, Parkinson Disease, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Esophageal Neoplasms, Constipation, Pharyngeal Neoplasms, Head and Neck Neoplasms, Thyroid Neoplasms, Rectal Neoplasms
Bifidobacteriales: Colorectal Neoplasms, Lung Neoplasms, Ulcerative Colitis, Alzheimer Disease, Crohn Disease, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Parkinson Disease, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Esophageal Neoplasms, Laryngeal Neoplasms
Catenibacterium: Ulcerative Colitis, Colorectal Neoplasms, Crohn Disease, Lung Neoplasms, Alzheimer Disease, Pancreatic Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Breast Neoplasms, Mouth Neoplasms, Celiac Disease, Parkinson Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Esophageal Neoplasms
Citrobacter: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Irritable Bowel Syndrome, Liver Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Breast Neoplasms, Mouth Neoplasms, Celiac Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Esophageal Neoplasms, Laryngeal Neoplasms
