Ulcerative Colitis: Eggerthella lenta, Oscillospira, Odoribacteraceae, Turicibacter, Bacteroides uniformis, Akkermansia, Carnobacteriaceae, Sutterella, Verrucomicrobiales, Catenibacterium, Moryella, Fusobacteriales, Actinomycetaceae, Butyricimonas, Parabacteroides distasonis, Megasphaera, Sphingobacterium, Granulicatella, Faecalibacterium prausnitzii, Butyricicoccus
Breast Neoplasms: Corynebacteriaceae, Capnocytophaga, Comamonadaceae, Sphingobacteriia, Fusobacterium nucleatum, Bacillus, Corynebacterium, Spirochaetes, Burkholderia, Betaproteobacteria, Fusobacterium, Peptostreptococcus, Pseudomonadaceae, Campylobacter, Flavobacteriales, Enterobacter, Oribacterium, Tenericutes, Streptococcaceae, Flavobacteriaceae
Constipation: Firmicutes, Enterobacteriaceae, Streptococcus, Bacteroidetes, Prevotella, Actinobacteria, Fusobacterium, Staphylococcus, Anaerostipes, Proteobacteria, Lactobacillus, Clostridium, Bacteroides, Subdoligranulum, Porphyromonas, Parabacteroides, Lachnospiraceae, Ruminococcus, Roseburia, Veillonella
Parkinson Disease: Sutterella, Megamonas, Erysipelotrichaceae, Bifidobacteriaceae, Clostridiales, Collinsella, Alistipes, Rikenellaceae, Christensenellaceae, Akkermansia, Odoribacteraceae, Lactobacillaceae, Blautia, Dialister, Phascolarctobacterium, Coprococcus, Alcaligenaceae, Coriobacteriaceae, Ruminococcaceae, Klebsiella
Esophageal Neoplasms: Enterobacteriaceae, Firmicutes, Bacteroidetes, Streptococcus, Roseburia, Prevotella, Actinobacteria, Lactobacillus, Clostridia, Parabacteroides, Subdoligranulum, Proteobacteria, Clostridium, Ruminococcus, Staphylococcus, Ruminococcaceae, Anaerostipes, Bacteroides, Lachnospiraceae, Dorea
Uterine Cervical Neoplasms: Fusobacterium, Corynebacteriaceae, Spirochaetes, Lachnoclostridium, Oribacterium, Pseudomonas, Peptostreptococcus, Treponema, Betaproteobacteria, Fusobacterium nucleatum, Parvimonas, Corynebacterium, Anaerostipes, Pseudomonadaceae, Streptococcus, Firmicutes, Streptococcaceae, Staphylococcus, Porphyromonas, Bacteroides
Squamous Intraepithelial Lesions: Chlamydia pneumoniae, unclassified Rikenellaceae, Odoribacter sp., unclassified Ruminococcaceae, Sneathia sanguinegens, Lactobacillus jensenii, Gemella haemolysans, Catenibacterium mitsuokai, Sutterella wadsworthensis, Anaerosporobacter, Eubacterium coprostanoligenes, unclassified Lactobacillales, unclassified Lachnospiraceae, Candidatus Arthromitus, Anaerococcus tetradius, Pseudomonas luteola, Bacteroides nordii, Fusobacterium mortiferum, Prevotella stercorea, Blautia hansenii
Thrombosis: Roseburia, Enterobacteriaceae, Firmicutes, Bacteroidetes, Clostridia, Parabacteroides, Subdoligranulum, Streptococcus, Prevotella, Lactobacillus, Clostridium, Ruminococcus, Ruminococcaceae, Actinobacteria, Proteobacteria, Dorea, Faecalibacterium, Lachnospiraceae, Anaerostipes, Veillonella
Head and Neck Neoplasms: Fusobacterium, Firmicutes, Streptococcus, Enterobacteriaceae, Bacteroidetes, Prevotella, Actinobacteria, Staphylococcus, Anaerostipes, Bacteroides, Porphyromonas, Proteobacteria, Pseudomonas, Oribacterium, Clostridium, Lactobacillus, Peptostreptococcus, Streptococcaceae, Lachnospiraceae, Pseudomonadaceae
Liver Neoplasms: Coriobacteriales, Prevotella copri, Actinomycetaceae, Clostridiales, Bacteroidaceae, Gemella, Bifidobacteriaceae, Megasphaera, Eubacterium, Haemophilus parainfluenzae, Bacteroides uniformis, Phascolarctobacterium, Porphyromonadaceae, Bacteroidia, Bacteroidales, Akkermansia, Veillonella dispar, Verrucomicrobia, Campylobacterales, Collinsella
Amyotrophic Lateral Sclerosis: Enterobacteriaceae, Firmicutes, Roseburia, Bacteroidetes, Streptococcus, Prevotella, Parabacteroides, Clostridia, Subdoligranulum, Lactobacillus, Clostridium, Actinobacteria, Ruminococcus, Proteobacteria, Ruminococcaceae, Dorea, Anaerostipes, Staphylococcus, Faecalibacterium, Veillonella
Endometrial Neoplasms: Enterobacteriaceae, Firmicutes, Bacteroidetes, Streptococcus, Roseburia, Prevotella, Parabacteroides, Subdoligranulum, Lactobacillus, Clostridia, Clostridium, Actinobacteria, Proteobacteria, Ruminococcus, Ruminococcaceae, Dorea, Veillonella, Staphylococcus, Anaerostipes, Bacteroides
Lung Neoplasms: Actinomycetales, Peptostreptococcaceae, Brevundimonas, Alphaproteobacteria, Haemophilus, Enterobacterales, Bacteroidia, Bacteroidales, Megasphaera, Clostridiaceae, Coriobacteriales, Gammaproteobacteria, Dialister, Alistipes, Pseudomonadaceae, Staphylococcaceae, Coriobacteriaceae, Streptococcaceae, Erysipelotrichaceae, Klebsiella
Rectal Neoplasms: Firmicutes, Enterobacteriaceae, Streptococcus, Bacteroidetes, Prevotella, Actinobacteria, Proteobacteria, Clostridium, Fusobacterium, Lactobacillus, Staphylococcus, Subdoligranulum, Bacteroides, Anaerostipes, Lachnospiraceae, Parabacteroides, Clostridia, Ruminococcus, Roseburia, Veillonella
Hypertension: Roseburia, Enterobacteriaceae, Firmicutes, Bacteroidetes, Clostridia, Parabacteroides, Subdoligranulum, Streptococcus, Prevotella, Lactobacillus, Clostridium, Ruminococcus, Ruminococcaceae, Actinobacteria, Proteobacteria, Dorea, Faecalibacterium, Anaerostipes, Lachnospiraceae, Staphylococcus
Gastroenteritis: Enterobacteriaceae, Firmicutes, Bacteroidetes, Streptococcus, Prevotella, Roseburia, Parabacteroides, Lactobacillus, Subdoligranulum, Clostridium, Clostridia, Actinobacteria, Proteobacteria, Ruminococcus, Ruminococcaceae, Staphylococcus, Anaerostipes, Bacteroides, Veillonella, Dorea
Prostatic Neoplasms: Enterobacteriaceae, Firmicutes, Roseburia, Bacteroidetes, Streptococcus, Prevotella, Parabacteroides, Subdoligranulum, Clostridia, Lactobacillus, Clostridium, Actinobacteria, Proteobacteria, Ruminococcus, Ruminococcaceae, Anaerostipes, Staphylococcus, Dorea, Bacteroides, Lachnospiraceae
Coronary Heart Disease: Roseburia, Enterobacteriaceae, Firmicutes, Bacteroidetes, Clostridia, Parabacteroides, Subdoligranulum, Streptococcus, Prevotella, Lactobacillus, Clostridium, Ruminococcaceae, Ruminococcus, Chlamydia pneumoniae, Actinobacteria, Proteobacteria, Dorea, Faecalibacterium, Enterococcus, Anaerostipes
Stomach Neoplasms: Phascolarctobacterium, Pasteurellaceae, Fusobacteriaceae, Akkermansia, Bacteroidaceae, Coriobacteriaceae, Prevotella copri, Rikenellaceae, Actinomycetaceae, Pseudomonas, Bacteroidales, Actinomyces, Bifidobacteriaceae, Clostridiales, Bacteroidia, Klebsiella, Megasphaera, Rothia, Acinetobacter, Dialister
Alzheimer Disease: Actinomycetales, Brevundimonas, Peptostreptococcaceae, Bacteroidia, Bacteroidales, Haemophilus, Enterobacterales, Alphaproteobacteria, Megasphaera, Coriobacteriales, Dialister, Bifidobacteriales, Erysipelotrichaceae, Clostridiaceae, Coriobacteriaceae, Bacilli, Actinomycetaceae, Alistipes, Gammaproteobacteria, Klebsiella
Tongue Neoplasms: Fusobacterium, Firmicutes, Streptococcus, Enterobacteriaceae, Bacteroidetes, Prevotella, Actinobacteria, Staphylococcus, Bacteroides, Pseudomonas, Proteobacteria, Anaerostipes, Porphyromonas, Streptococcaceae, Oribacterium, Peptostreptococcus, Lactobacillus, Clostridium, Lachnospiraceae, Pseudomonadaceae
Diverticular Diseases: Enterobacteriaceae, Roseburia, Firmicutes, Bacteroidetes, Streptococcus, Clostridia, Parabacteroides, Prevotella, Subdoligranulum, Lactobacillus, Clostridium, Actinobacteria, Ruminococcus, Proteobacteria, Ruminococcaceae, Dorea, Faecalibacterium, Veillonella, Lachnospiraceae, Staphylococcus
Vascular Stiffness: Chlamydia pneumoniae, unclassified Rikenellaceae, Odoribacter sp., unclassified Ruminococcaceae, Sneathia sanguinegens, Lactobacillus jensenii, Gemella haemolysans, Catenibacterium mitsuokai, Sutterella wadsworthensis, Anaerosporobacter, unclassified Lachnospiraceae, unclassified Lactobacillales, Eubacterium coprostanoligenes, Candidatus Arthromitus, Anaerococcus tetradius, Pseudomonas luteola, Bacteroides nordii, Fusobacterium mortiferum, Prevotella stercorea, Blautia hansenii
Urinary Bladder Neoplasms: Fusobacterium, Corynebacteriaceae, Lachnoclostridium, Pseudomonas, Spirochaetes, Oribacterium, Peptostreptococcus, Treponema, Parvimonas, Betaproteobacteria, Streptococcus, Pseudomonadaceae, Staphylococcus, Firmicutes, Corynebacterium, Anaerostipes, Streptococcaceae, Porphyromonas, Bacteroides, Fusobacterium nucleatum
Thyroid Neoplasms: Enterobacteriaceae, Firmicutes, Bacteroidetes, Streptococcus, Prevotella, Roseburia, Subdoligranulum, Lactobacillus, Clostridium, Actinobacteria, Parabacteroides, Clostridia, Proteobacteria, Ruminococcus, Staphylococcus, Anaerostipes, Ruminococcaceae, Bacteroides, Lachnospiraceae, Veillonella
Ovarian Neoplasms: Proteobacteria bacterium CAG:139, Tyzzerella, Prochlorococcus, Paenarthrobacter, Lachnospiraceae bacterium 2_1_58FAA, Basidioascus, Clostridia bacterium UC5.1-2D9, Crepidotus, Firmicutes bacterium CAG:102, Firmicutes bacterium CAG:110, Firmicutes bacterium CAG:240, Lachnospiraceae bacterium 5_1_63FAA, Firmicutes, Streptococcus, Enterobacteriaceae, Prevotella, Bacteroidetes, Boletus, Lysurus, Sphingobacterium multivorum
Pharyngeal Neoplasms: Fusobacterium, Corynebacteriaceae, Spirochaetes, Lachnoclostridium, Treponema, Parvimonas, Oribacterium, Peptostreptococcus, Pseudomonas, Corynebacterium, Fusobacterium nucleatum, Betaproteobacteria, Pseudomonadaceae, Campylobacter, Porphyromonas, Streptococcus, Anaerostipes, Staphylococcus, Firmicutes, Streptococcaceae
Biliary Tract Neoplasms: Enterobacteriaceae, Firmicutes, Roseburia, Bacteroidetes, Streptococcus, Prevotella, Parabacteroides, Clostridia, Subdoligranulum, Lactobacillus, Clostridium, Actinobacteria, Proteobacteria, Ruminococcus, Ruminococcaceae, Dorea, Faecalibacterium, Veillonella, Bacteroides, Staphylococcus
Acute Lymphoblastic Leukemia: Enterobacteriaceae, Roseburia, Firmicutes, Bacteroidetes, Streptococcus, Prevotella, Parabacteroides, Clostridia, Subdoligranulum, Lactobacillus, Clostridium, Actinobacteria, Ruminococcus, Proteobacteria, Ruminococcaceae, Dorea, Faecalibacterium, Veillonella, Bacteroides, Staphylococcus
Gallbladder Neoplasms: Proteobacteria bacterium CAG:139, Tyzzerella, Prochlorococcus, Paenarthrobacter, Firmicutes bacterium CAG:240, Lachnospiraceae bacterium 2_1_58FAA, Lachnospiraceae bacterium 5_1_63FAA, Basidioascus, Clostridia bacterium UC5.1-2D9, Crepidotus, Firmicutes bacterium CAG:102, Firmicutes bacterium CAG:110, Boletus, Lysurus, Sphingobacterium multivorum, Wallemia, Guignardia, Ophiocordyceps, Desulfobulbus, Antrodiella
