Collinsella aerofaciens: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Obesity, Clostridium difficile infection(CDI), Cystic fibrosis, Ileal Crohn's disease(CD), Psoriasis, Asthma, Periodontal, Systemic inflammatory response syndrome, COPD, Type 1 diabetes, Colorectal carcinoma, Guttate psoriasis, Ulcerative colitis, Atopic dermatitis
Desulfovibrio: Atopic dermatitis, Necrotizing Enterocolitis, Crohn's disease(CD), Eczema, Diarrhea Irritable bowel syndrome(IBS), Kidney stones, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Type 2 diabetes, Guttate psoriasis, Liver cirrhosis, Whipple's disease, New-onset untreated rheumatoid arthrits, Allergy, Ileal Crohn's disease(CD), Obesity, Psoriasis, Gastro-oesophageal reflux, Systemic inflammatory response syndrome, Allergic sensitization
Ruminococcus productus: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Obesity, Type 1 diabetes, Psoriasis, Cystic fibrosis, Periodontal, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Ulcerative colitis, Atopic dermatitis, Inflammatory bowel disease(IBD)
Veillonella: Liver cirrhosis, Type 1 diabetes, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Crohn's disease(CD), Type 2 diabetes, Ileal Crohn's disease(CD), Psoriasis, COPD, Periodontal, Colorectal carcinoma, Obesity, Asthma, Inflammatory bowel disease(IBD), Ulcerative colitis, Systemic inflammatory response syndrome, Cystic fibrosis, Rheumatoid arthrits
Bacteroidetes: Type 1 diabetes, Liver cirrhosis, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Bacterial Vaginosis, Type 2 diabetes, COPD, Crohn's disease(CD), Psoriasis, Ileal Crohn's disease(CD), Periodontal, Asthma, Colorectal carcinoma, Obesity, Ulcerative colitis, Inflammatory bowel disease(IBD), Systemic inflammatory response syndrome, Cystic fibrosis, Rheumatoid arthrits
Firmicutes: Type 1 diabetes, Necrotizing Enterocolitis, Type 2 diabetes, Clostridium difficile infection(CDI), Bacterial Vaginosis, Ileal Crohn's disease(CD), COPD, Crohn's disease(CD), Psoriasis, Irritable bowel syndrome(IBS), Colorectal carcinoma, Periodontal, Asthma, Inflammatory bowel disease(IBD), Ulcerative colitis, Liver cirrhosis, Obesity, Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Bacteroides fragilis: Type 1 diabetes, Bacterial Vaginosis, Clostridium difficile infection(CDI), Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Ileal Crohn's disease(CD), Type 2 diabetes, Crohn's disease(CD), Colorectal carcinoma, Liver cirrhosis, Inflammatory bowel disease(IBD), COPD, Psoriasis, Ulcerative colitis, Periodontal, Rheumatoid arthrits, Obesity, Asthma, Infectious colitis, Atopy
Clostridium leptum: Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Liver cirrhosis, Systemic inflammatory response syndrome, Obesity, Psoriasis, Cystic fibrosis, Asthma, Periodontal, Clostridium difficile infection(CDI), COPD, Colorectal carcinoma, Ulcerative colitis, Atopic dermatitis, Inflammatory bowel disease(IBD), Guttate psoriasis
Atopobium: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Crohn's disease(CD), Liver cirrhosis, Obesity, Type 2 diabetes, Cystic fibrosis, Psoriasis, Ileal Crohn's disease(CD), Periodontal, Asthma, Systemic inflammatory response syndrome, Clostridium difficile infection(CDI), COPD, Colorectal carcinoma, Ulcerative colitis, Atopic dermatitis, Type 1 diabetes, Inflammatory bowel disease(IBD)
Atopobium vaginae: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Necrotizing Enterocolitis, Crohn's disease(CD), Obesity, Type 2 diabetes, Cystic fibrosis, Psoriasis, Ileal Crohn's disease(CD), Periodontal, Asthma, Systemic inflammatory response syndrome, Clostridium difficile infection(CDI), COPD, Colorectal carcinoma, Ulcerative colitis, Atopic dermatitis, Inflammatory bowel disease(IBD), Type 1 diabetes
Clostridiales: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Crohn's disease(CD), Necrotizing Enterocolitis, Liver cirrhosis, Type 2 diabetes, Obesity, Ileal Crohn's disease(CD), Cystic fibrosis, Psoriasis, Systemic inflammatory response syndrome, Clostridium difficile infection(CDI), Asthma, Periodontal, COPD, Colorectal carcinoma, Ulcerative colitis, Atopic dermatitis, Guttate psoriasis, Gastric and duodenal ulcer
Eggerthella: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Crohn's disease(CD), Liver cirrhosis, Obesity, Cystic fibrosis, Type 2 diabetes, Psoriasis, Ileal Crohn's disease(CD), Periodontal, Asthma, Systemic inflammatory response syndrome, Clostridium difficile infection(CDI), COPD, Colorectal carcinoma, Ulcerative colitis, Atopic dermatitis, Gastric and duodenal ulcer, Eczema
Gardnerella vaginalis: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Necrotizing Enterocolitis, Crohn's disease(CD), Obesity, Type 2 diabetes, Cystic fibrosis, Psoriasis, Ileal Crohn's disease(CD), Periodontal, Systemic inflammatory response syndrome, Asthma, Clostridium difficile infection(CDI), COPD, Colorectal carcinoma, Atopic dermatitis, Ulcerative colitis, Gastric and duodenal ulcer, Eczema
Lactobacillus  crispatus: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Crohn's disease(CD), Liver cirrhosis, Obesity, Type 2 diabetes, Cystic fibrosis, Psoriasis, Ileal Crohn's disease(CD), Systemic inflammatory response syndrome, Periodontal, Asthma, Clostridium difficile infection(CDI), COPD, Colorectal carcinoma, Type 1 diabetes, Ulcerative colitis, Atopic dermatitis, Gastric and duodenal ulcer
Leptotrichia: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Crohn's disease(CD), Liver cirrhosis, Obesity, Type 2 diabetes, Cystic fibrosis, Psoriasis, Ileal Crohn's disease(CD), Periodontal, Asthma, Systemic inflammatory response syndrome, Clostridium difficile infection(CDI), COPD, Colorectal carcinoma, Ulcerative colitis, Atopic dermatitis, Gastric and duodenal ulcer, Eczema
Megasphaera: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Clostridium difficile infection(CDI), Type 1 diabetes, Ileal Crohn's disease(CD), Psoriasis, Obesity, Periodontal, Cystic fibrosis, Systemic inflammatory response syndrome, COPD, Asthma, Colorectal carcinoma, Ulcerative colitis, Inflammatory bowel disease(IBD), Atopic dermatitis
Bacteroides: Type 1 diabetes, Liver cirrhosis, Irritable bowel syndrome(IBS), Clostridium difficile infection(CDI), Bacterial Vaginosis, Necrotizing Enterocolitis, Ileal Crohn's disease(CD), Type 2 diabetes, Crohn's disease(CD), Colorectal carcinoma, Inflammatory bowel disease(IBD), COPD, Psoriasis, Ulcerative colitis, Periodontal, Rheumatoid arthrits, Obesity, Asthma, Infectious colitis, Atopy
Clostridium difficile: Atopic dermatitis, Eczema, Kidney stones, Diarrhea Irritable bowel syndrome(IBS), Atopic sensitisation, Gastric and duodenal ulcer, Allergic asthma, Allergic sensitization, Recurrent wheeze, Guttate psoriasis, New-onset untreated rheumatoid arthrits, Whipple's disease, Allergy, Gastro-oesophageal reflux, Type 1 diabetes, Skin and mucosal infections, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD)
Escherichia coli: Necrotizing Enterocolitis, Crohn's disease(CD), Atopic dermatitis, Type 2 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Eczema, Diarrhea Irritable bowel syndrome(IBS), Liver cirrhosis, Kidney stones, Guttate psoriasis, Ileal Crohn's disease(CD), Whipple's disease, New-onset untreated rheumatoid arthrits, Allergy, Psoriasis, Obesity, Systemic inflammatory response syndrome, Cystic fibrosis, Gastro-oesophageal reflux
Clostridium cocleatum: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Obesity, Type 1 diabetes, Psoriasis, Cystic fibrosis, Periodontal, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Atopic dermatitis, Ulcerative colitis, Guttate psoriasis
Coprococcus: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Clostridium difficile infection(CDI), Type 1 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, COPD, Asthma, Systemic inflammatory response syndrome, Colorectal carcinoma, Ulcerative colitis, Inflammatory bowel disease(IBD), Atopic dermatitis
Actinobacteria: Type 1 diabetes, Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Bacterial Vaginosis, Type 2 diabetes, Ileal Crohn's disease(CD), Crohn's disease(CD), Irritable bowel syndrome(IBS), Colorectal carcinoma, COPD, Psoriasis, Periodontal, Inflammatory bowel disease(IBD), Ulcerative colitis, Asthma, Liver cirrhosis, Obesity, Rheumatoid arthrits, Systemic inflammatory response syndrome, Cystic fibrosis
Lachnospiraceae: Type 1 diabetes, Liver cirrhosis, Irritable bowel syndrome(IBS), Clostridium difficile infection(CDI), Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Ileal Crohn's disease(CD), Colorectal carcinoma, Psoriasis, Inflammatory bowel disease(IBD), COPD, Periodontal, Ulcerative colitis, Asthma, Obesity, Rheumatoid arthrits, Systemic inflammatory response syndrome, Infectious colitis
Proteobacteria: Type 1 diabetes, Necrotizing Enterocolitis, Liver cirrhosis, Irritable bowel syndrome(IBS), Type 2 diabetes, Psoriasis, COPD, Crohn's disease(CD), Periodontal, Bacterial Vaginosis, Clostridium difficile infection(CDI), Asthma, Ileal Crohn's disease(CD), Obesity, Colorectal carcinoma, Systemic inflammatory response syndrome, Ulcerative colitis, Inflammatory bowel disease(IBD), Cystic fibrosis, Rheumatoid arthrits
Dietzia maris: Atopic dermatitis, Eczema, Diarrhea Irritable bowel syndrome(IBS), Kidney stones, Guttate psoriasis, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Crohn's disease(CD), Bacterial Vaginosis, Whipple's disease, Type 1 diabetes, Irritable bowel syndrome(IBS), Allergy, Type 2 diabetes, Liver cirrhosis, Skin and mucosal infections, Obesity, Gastro-oesophageal reflux, Allergic sensitization, Atopic sensitisation
Stenotrophomonas maltophilia: Cystic fibrosis, Obesity, Atopic dermatitis, Bacterial Vaginosis, Guttate psoriasis, Eczema, Diarrhea Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Kidney stones, Crohn's disease(CD), New-onset untreated rheumatoid arthrits, Irritable bowel syndrome(IBS), Type 2 diabetes, Liver cirrhosis, Whipple's disease, Psoriasis, Allergy, Type 1 diabetes, Asthma, Periodontal
Coxiellaceae: Irritable bowel syndrome(IBS), Bacterial Vaginosis, Cystic fibrosis, Liver cirrhosis, Obesity, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Guttate psoriasis, Ileal Crohn's disease(CD), Psoriasis, Clostridium difficile infection(CDI), Asthma, Periodontal, Systemic inflammatory response syndrome, COPD, Type 1 diabetes, Atopic dermatitis, Colorectal carcinoma, Ulcerative colitis
Lysobacter: Cystic fibrosis, Obesity, Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Guttate psoriasis, Irritable bowel syndrome(IBS), Liver cirrhosis, Psoriasis, Asthma, Periodontal, Type 2 diabetes, COPD, Systemic inflammatory response syndrome, Ileal Crohn's disease(CD), Atopic dermatitis, Type 1 diabetes, Clostridium difficile infection(CDI), Eczema, Colorectal carcinoma
Rickettsiales: Cystic fibrosis, Obesity, Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Guttate psoriasis, Irritable bowel syndrome(IBS), Psoriasis, Asthma, Liver cirrhosis, Periodontal, Type 2 diabetes, COPD, Systemic inflammatory response syndrome, Ileal Crohn's disease(CD), Atopic dermatitis, Type 1 diabetes, Clostridium difficile infection(CDI), Colorectal carcinoma, Eczema
Streptococcus mitis: Cystic fibrosis, Obesity, Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Guttate psoriasis, Irritable bowel syndrome(IBS), Psoriasis, Asthma, Liver cirrhosis, Periodontal, Type 2 diabetes, COPD, Systemic inflammatory response syndrome, Ileal Crohn's disease(CD), Atopic dermatitis, Type 1 diabetes, Clostridium difficile infection(CDI), Colorectal carcinoma, Eczema
Bacteroides ovatus: Type 1 diabetes, Necrotizing Enterocolitis, Type 2 diabetes, Crohn's disease(CD), Ileal Crohn's disease(CD), Bacterial Vaginosis, Clostridium difficile infection(CDI), Irritable bowel syndrome(IBS), Liver cirrhosis, Colorectal carcinoma, Psoriasis, Inflammatory bowel disease(IBD), COPD, Periodontal, Ulcerative colitis, Asthma, Obesity, Rheumatoid arthrits, Systemic inflammatory response syndrome, Infectious colitis
Bacteroides uniformis: Type 1 diabetes, Liver cirrhosis, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Crohn's disease(CD), Bacterial Vaginosis, Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Psoriasis, Colorectal carcinoma, COPD, Periodontal, Asthma, Obesity, Inflammatory bowel disease(IBD), Ulcerative colitis, Systemic inflammatory response syndrome, Cystic fibrosis, Rheumatoid arthrits
Bacteroides vulgatus: Type 1 diabetes, Liver cirrhosis, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Bacterial Vaginosis, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Psoriasis, Colorectal carcinoma, COPD, Obesity, Inflammatory bowel disease(IBD), Periodontal, Asthma, Ulcerative colitis, Rheumatoid arthrits, Systemic inflammatory response syndrome, Cystic fibrosis
Betaproteobacteria: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Crohn's disease(CD), Necrotizing Enterocolitis, Liver cirrhosis, Type 2 diabetes, Obesity, Type 1 diabetes, Ileal Crohn's disease(CD), Cystic fibrosis, Psoriasis, Systemic inflammatory response syndrome, Clostridium difficile infection(CDI), Asthma, Periodontal, COPD, Colorectal carcinoma, Ulcerative colitis, Inflammatory bowel disease(IBD), Atopic dermatitis
Candidate division TM7: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Necrotizing Enterocolitis, Crohn's disease(CD), Obesity, Cystic fibrosis, Type 2 diabetes, Psoriasis, Ileal Crohn's disease(CD), Asthma, Periodontal, Clostridium difficile infection(CDI), Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Type 1 diabetes, Ulcerative colitis, Atopic dermatitis, Inflammatory bowel disease(IBD)
Clostridium: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Ileal Crohn's disease(CD), Type 1 diabetes, Clostridium difficile infection(CDI), Obesity, Psoriasis, Cystic fibrosis, Systemic inflammatory response syndrome, Asthma, Periodontal, COPD, Colorectal carcinoma, Inflammatory bowel disease(IBD), Ulcerative colitis, Rheumatoid arthrits
Fusobacteria: Type 1 diabetes, Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Clostridium difficile infection(CDI), Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Ileal Crohn's disease(CD), Colorectal carcinoma, Psoriasis, COPD, Inflammatory bowel disease(IBD), Obesity, Periodontal, Asthma, Ulcerative colitis, Rheumatoid arthrits, Systemic inflammatory response syndrome, Cystic fibrosis
Lactobacillus: Type 1 diabetes, Liver cirrhosis, Necrotizing Enterocolitis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Type 2 diabetes, Crohn's disease(CD), Psoriasis, COPD, Periodontal, Clostridium difficile infection(CDI), Asthma, Ileal Crohn's disease(CD), Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, Ulcerative colitis, Inflammatory bowel disease(IBD), Cystic fibrosis, Rheumatoid arthrits
Olsenella: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Crohn's disease(CD), Liver cirrhosis, Obesity, Cystic fibrosis, Type 2 diabetes, Psoriasis, Ileal Crohn's disease(CD), Asthma, Periodontal, Systemic inflammatory response syndrome, Clostridium difficile infection(CDI), COPD, Type 1 diabetes, Colorectal carcinoma, Ulcerative colitis, Atopic dermatitis, Inflammatory bowel disease(IBD)
Porphyromonas uenonis: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Crohn's disease(CD), Liver cirrhosis, Obesity, Cystic fibrosis, Type 2 diabetes, Psoriasis, Ileal Crohn's disease(CD), Asthma, Periodontal, Systemic inflammatory response syndrome, Clostridium difficile infection(CDI), COPD, Colorectal carcinoma, Type 1 diabetes, Ulcerative colitis, Atopic dermatitis, Inflammatory bowel disease(IBD)
Shuttleworthia: Type 1 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Type 2 diabetes, Crohn's disease(CD), Ileal Crohn's disease(CD), Colorectal carcinoma, Inflammatory bowel disease(IBD), Psoriasis, Ulcerative colitis, COPD, Rheumatoid arthrits, Obesity, Periodontal, Infectious colitis, Asthma, Atopy
Streptobacillus: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Obesity, Cystic fibrosis, Type 2 diabetes, Psoriasis, Ileal Crohn's disease(CD), Asthma, Periodontal, Systemic inflammatory response syndrome, Clostridium difficile infection(CDI), COPD, Type 1 diabetes, Colorectal carcinoma, Ulcerative colitis, Atopic dermatitis, Inflammatory bowel disease(IBD)
Propionibacterium: Necrotizing Enterocolitis, Asthma, Periodontal, Psoriasis, Crohn's disease(CD), Bacterial Vaginosis, COPD, Type 2 diabetes, Irritable bowel syndrome(IBS), Liver cirrhosis, Obesity, Systemic inflammatory response syndrome, Cystic fibrosis, Ileal Crohn's disease(CD), Clostridium difficile infection(CDI), Colorectal carcinoma, Type 1 diabetes, Ulcerative colitis, Atopic dermatitis, Inflammatory bowel disease(IBD)
Propionibacterium acnes: Necrotizing Enterocolitis, Asthma, Periodontal, Psoriasis, Crohn's disease(CD), Bacterial Vaginosis, COPD, Type 2 diabetes, Irritable bowel syndrome(IBS), Liver cirrhosis, Obesity, Systemic inflammatory response syndrome, Cystic fibrosis, Ileal Crohn's disease(CD), Clostridium difficile infection(CDI), Colorectal carcinoma, Ulcerative colitis, Type 1 diabetes, Atopic dermatitis, Inflammatory bowel disease(IBD)
Streptococcus: Type 1 diabetes, Liver cirrhosis, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Psoriasis, Periodontal, COPD, Type 2 diabetes, Asthma, Crohn's disease(CD), Bacterial Vaginosis, Clostridium difficile infection(CDI), Obesity, Ileal Crohn's disease(CD), Systemic inflammatory response syndrome, Cystic fibrosis, Colorectal carcinoma, Ulcerative colitis, Inflammatory bowel disease(IBD), Rheumatoid arthrits
Alcaligenaceae: Cystic fibrosis, Obesity, Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Liver cirrhosis, Psoriasis, Type 2 diabetes, Asthma, Periodontal, Guttate psoriasis, COPD, Systemic inflammatory response syndrome, Ileal Crohn's disease(CD), Clostridium difficile infection(CDI), Colorectal carcinoma, Atopic dermatitis, Ulcerative colitis, Type 1 diabetes
Coriobacteriaceae: Cystic fibrosis, Obesity, Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Liver cirrhosis, Psoriasis, Type 2 diabetes, Asthma, Periodontal, Guttate psoriasis, COPD, Systemic inflammatory response syndrome, Ileal Crohn's disease(CD), Clostridium difficile infection(CDI), Colorectal carcinoma, Atopic dermatitis, Type 1 diabetes, Ulcerative colitis
Erysipelotrichaceae: Cystic fibrosis, Obesity, Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Psoriasis, Liver cirrhosis, Type 2 diabetes, Asthma, Periodontal, Guttate psoriasis, COPD, Systemic inflammatory response syndrome, Ileal Crohn's disease(CD), Clostridium difficile infection(CDI), Colorectal carcinoma, Atopic dermatitis, Type 1 diabetes, Ulcerative colitis
Methanobrevibacter smithii: Cystic fibrosis, Obesity, Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Liver cirrhosis, Psoriasis, Type 2 diabetes, Asthma, Periodontal, Guttate psoriasis, COPD, Systemic inflammatory response syndrome, Ileal Crohn's disease(CD), Clostridium difficile infection(CDI), Colorectal carcinoma, Atopic dermatitis, Type 1 diabetes, Ulcerative colitis
Prevotellaceae: Irritable bowel syndrome(IBS), Bacterial Vaginosis, Liver cirrhosis, Cystic fibrosis, Obesity, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Psoriasis, Ileal Crohn's disease(CD), Clostridium difficile infection(CDI), Guttate psoriasis, Asthma, Periodontal, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Type 1 diabetes, Atopic dermatitis, Inflammatory bowel disease(IBD)
Enterobacteriaceae: Liver cirrhosis, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Bacterial Vaginosis, Systemic inflammatory response syndrome, Psoriasis, Obesity, Asthma, Periodontal, COPD, Cystic fibrosis, Ileal Crohn's disease(CD), Clostridium difficile infection(CDI), Type 1 diabetes, Ulcerative colitis, Colorectal carcinoma, Inflammatory bowel disease(IBD), Atopy
Faecalibacterium prausnitzii: Liver cirrhosis, Irritable bowel syndrome(IBS), Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Bacterial Vaginosis, Ileal Crohn's disease(CD), Clostridium difficile infection(CDI), Type 1 diabetes, Psoriasis, Obesity, Systemic inflammatory response syndrome, Cystic fibrosis, Asthma, Periodontal, COPD, Colorectal carcinoma, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
